Place,Surface,Room Number,Flooring,Balcony,Price
Bulevar Oslobođenja,54,2.0,3,1,132000.0
Liman,51,2.0,0,0,110210.0
Bulevar Evrope,106,4.0,2,1,272950.0
Rotkvarija,84,3.0,4,0,216000.0
Stari Grad,63,2.5,3,1,142800.0
Nova Detelinara,47,2.0,1,1,149400.0
Liman,41,2.0,3,1,103000.0
Stari Grad,98,4.0,4,0,267500.0
Novo Naselje,122,4.0,1,1,265000.0
Satelit,48,2.5,2,0,81700.0
Telep,97,3.0,3,1,334750.0
Sajmište,28,1.0,1,0,81400.0
Podbara,27,0.5,0,0,72100.0
Bulevar Oslobođenja,27,1.5,4,1,77770.0
Stari Grad,101,3.0,1,1,266000.0
Grbavica,41,1.5,2,1,123600.0
Banatić,67,2.5,4,0,138020.0
Adamovićevo Naselje,60,3.0,1,1,135000.0
Stari Grad,52,2.5,3,1,111300.0
Grbavica,26,0.5,3,0,70000.0
Novo Naselje,65,2.0,7,1,123250.0
Sremska Kamenica,124,4.0,1,1,280000.0
Novo Naselje,31,1.0,3,1,74100.0
Adice,27,0.5,0,0,40600.0
Novo Naselje,32,1.5,5,1,54500.0
Rotkvarija,23,0.5,6,0,49400.0
Bulevar Oslobođenja,27,1.0,1,1,85900.0
Stari Grad,23,1.0,-1,0,47300.0
Detelinara,48,2.0,2,0,105000.0
Sajmište,108,4.5,5,1,177900.0
Liman,39,1.5,5,0,141100.0
Novo Naselje,34,1.5,5,1,83000.0
Adamovićevo Naselje,38,1.5,1,0,93730.0
Stari Grad,32,1.0,4,1,90000.0
Veternik,89,3.0,1,0,123760.0
Novo Naselje,52,2.0,2,1,133900.0
Bulevar Oslobođenja,80,2.0,3,1,181280.0
Stari Grad,30,1.0,1,0,77250.0
Veternik,92,3.0,2,0,127930.0
Petrovaradin,75,3.0,1,0,139200.0
Petrovaradin,24,1.0,1,0,34600.0
Novo Naselje,40,2.0,2,1,111240.0
Sremska Kamenica,110,4.0,0,1,181500.0
Adamovićevo Naselje,245,4.0,3,1,566500.0
Nova Detelinara,65,3.0,1,1,213210.0
Podbara,27,0.5,0,0,72100.0
Bulevar Oslobođenja,27,1.5,4,1,77770.0
Stari Grad,101,3.0,1,1,266000.0
Grbavica,41,1.5,2,1,123600.0
Banatić,67,2.5,4,0,138020.0
Adamovićevo Naselje,60,3.0,1,1,135000.0
Stari Grad,52,2.5,3,1,111300.0
Grbavica,26,0.5,3,0,70000.0
Novo Naselje,65,2.0,7,1,123250.0
Sremska Kamenica,124,4.0,1,1,280000.0
Novo Naselje,31,1.0,3,1,74100.0
Sajmište,43,2.0,1,1,94760.0
Adice,27,0.5,0,0,40600.0
Novo Naselje,32,1.5,5,1,54500.0
Rotkvarija,23,0.5,6,0,49400.0
Bulevar Oslobođenja,27,1.0,1,1,85900.0
Stari Grad,23,1.0,-1,0,47300.0
Detelinara,48,2.0,2,0,105000.0
Sajmište,108,4.5,5,1,177900.0
Liman,39,1.5,5,0,141100.0
Novo Naselje,34,1.5,5,1,83000.0
Stari Grad,80,2.5,6,1,124000.0
Bulevar Evrope,40,2.0,5,1,139000.0
Detelinara,48,2.0,2,1,105000.0
Nova Detelinara,72,3.0,6,1,157500.0
Nova Detelinara,84,3.5,5,1,129700.0
Detelinara,58,3.0,4,1,97800.0
Telep,58,2.5,1,1,127910.0
Detelinara,48,2.0,2,1,105060.0
Sajmište,26,1.0,5,1,70000.0
Veternik,89,3.0,1,1,123760.0
Rotkvarija,45,2.0,1,1,157500.0
Rotkvarija,54,2.5,0,0,166500.0
Banatić,50,2.0,1,0,92700.0
Stari Grad,21,0.5,0,0,61800.0
Podbara,46,2.0,0,0,71100.0
Nova Detelinara,114,4.5,5,0,212180.0
Adamovićevo Naselje,42,2.0,3,1,139050.0
Adice,42,2.0,2,1,77250.0
Podbara,23,0.5,4,1,67980.0
Stari Grad,112,4.0,2,1,401408.0
Stari Grad,60,2.5,3,0,129780.0
Sajmište,41,1.5,6,0,126700.0
Detelinara,48,2.0,2,1,105000.0
Detelinara,48,2.0,2,1,105000.0
Satelit,53,3.0,1,0,87550.0
Rotkvarija,30,1.0,1,0,77800.0
Nova Detelinara,43,2.0,4,1,103000.0
Sajmište,36,1.5,1,0,112300.0
Stari Grad,32,1.0,1,0,90000.0
Adice,60,2.5,0,1,103000.0
Rotkvarija,61,2.5,6,1,119400.0
Salajka,93,4.0,3,1,162740.0
Podbara,92,4.0,2,1,150380.0
Liman,34,1.0,5,1,108150.0
Bulevar Oslobođenja,30,0.5,-1,0,51500.0
Detelinara,53,2.0,12,1,90000.0
Detelinara,48,2.0,2,1,105000.0
Stari Grad,60,3.0,3,1,108150.0
Stari Grad,26,1.5,4,1,76220.0
Stari Grad,56,3.0,1,1,175100.0
Nova Detelinara,32,1.5,4,1,84460.0
Stari Grad,67,3.0,5,1,236900.0
Detelinara,54,2.0,4,1,118450.0
Stari Grad,81,4.0,5,1,153900.0
Novo Naselje,28,1.0,4,0,68900.0
Podbara,38,1.5,2,1,103720.0
Adamovićevo Naselje,75,3.0,5,1,185400.0
Stari Grad,67,3.0,2,1,162230.0
Bulevar Oslobođenja,65,2.5,2,1,142150.0
Nova Detelinara,65,2.5,4,1,133400.0
Grbavica,66,3.0,1,1,245150.0
Rotkvarija,47,2.0,5,1,169500.0
Nova Detelinara,64,3.0,4,1,164800.0
Bulevar Oslobođenja,93,4.0,2,1,210750.0
Bulevar Oslobođenja,25,0.5,0,0,90125.0
Adice,63,2.0,2,1,87550.0
Bulevar Oslobođenja,55,3.5,0,0,133900.0
Stari Grad,62,2.0,5,1,190550.0
Nova Detelinara,87,3.5,5,1,152400.0
Liman,54,1.5,0,1,87550.0
Telep,49,2.0,2,1,141300.0
Liman,47,2.0,1,1,97850.0
Stari Grad,53,3.0,2,1,146300.0
Adice,31,0.5,2,0,56800.0
Klisa,23,0.5,0,0,37900.0
Klisa,40,2.0,3,0,57700.0
Grbavica,91,3.0,2,1,168700.0
Stari Grad,33,1.5,2,1,114350.0
Grbavica,32,1.0,2,1,113300.0
Adice,43,2.0,3,0,62000.0
Grbavica,28,0.5,3,1,80400.0
Adice,27,0.5,0,0,42550.0
Stari Grad,65,3.0,1,1,143200.0
Telep,107,4.0,3,1,206000.0
Grbavica,40,2.0,3,1,112700.0
Grbavica,88,4.0,3,1,237800.0
Grbavica,84,3.5,3,1,225900.0
Grbavica,67,2.5,3,1,180350.0
Grbavica,60,2.5,3,1,161750.0
Grbavica,37,2.0,1,1,114050.0
Grbavica,63,3.0,1,1,183900.0
Grbavica,61,2.5,3,1,165100.0
Grbavica,88,3.5,3,1,250400.0
Grbavica,49,2.0,3,1,143950.0
Grbavica,42,1.5,3,1,128600.0
Grbavica,37,1.5,3,1,114400.0
Grbavica,43,2.0,1,1,128500.0
Grbavica,49,2.0,2,1,144200.0
Grbavica,77,4.0,3,0,200700.0
Grbavica,28,0.5,0,0,88700.0
Grbavica,49,2.0,1,1,139150.0
Grbavica,43,1.5,0,1,124300.0
Grbavica,68,3.0,0,1,196900.0
Grbavica,40,1.5,0,1,119050.0
Petrovaradin,50,3.0,2,1,88400.0
Grbavica,27,1.5,0,0,86200.0
Petrovaradin,49,2.5,1,1,86050.0
Liman,53,1.5,0,0,120500.0
Stari Grad,71,3.0,0,1,219400.0
Grbavica,60,2.5,2,1,144200.0
Stari Grad,69,3.0,2,1,226600.0
Stari Grad,149,5.0,2,1,386250.0
Grbavica,56,3.0,1,1,210000.0
Bulevar Oslobođenja,60,3.0,2,1,167900.0
Bulevar Oslobođenja,78,2.0,5,1,200000.0
Stari Grad,100,5.0,0,0,139100.0
Stari Grad,108,5.0,1,1,255850.0
Grbavica,53,2.0,3,1,135000.0
Nova Detelinara,45,2.0,5,0,108000.0
Grbavica,33,1.5,4,1,93000.0
Telep,62,2.5,4,1,116000.0
Petrovaradin,53,1.5,1,1,80900.0
Podbara,54,2.0,3,1,99900.0
Novo Naselje,87,4.0,4,1,133900.0
Stari Grad,44,1.0,0,0,123600.0
Stari Grad,46,2.0,1,1,159650.0
Adice,95,3.0,2,0,123600.0
Bulevar Evrope,90,3.0,5,1,206000.0
Nova Detelinara,40,1.5,3,1,106100.0
Stari Grad,30,1.5,0,0,94800.0
Adice,100,4.0,1,1,205900.0
Sajmište,108,5.0,5,1,178000.0
Rotkvarija,77,3.5,7,1,201900.0
Satelit,48,2.0,1,1,80250.0
Liman,80,3.0,6,1,211150.0
Stari Grad,60,3.0,4,1,159650.0
Stari Grad,40,1.5,6,1,103000.0
Grbavica,123,4.0,6,1,375950.0
Kamenjar,100,4.0,1,1,191000.0
Telep,141,4.0,6,1,288000.0
Detelinara,87,3.0,5,1,164800.0
Adice,35,0.5,2,1,67000.0
Podbara,76,3.0,2,0,156500.0
Stari Grad,56,2.0,0,0,123600.0
Podbara,68,3.0,1,1,136000.0
Podbara,38,1.5,2,1,103700.0
Nova Detelinara,19,0.5,0,0,39140.0
Nova Detelinara,46,2.0,4,1,94760.0
Nova Detelinara,98,4.5,3,1,167900.0
Bulevar Evrope,75,3.5,3,1,164800.0
Grbavica,23,0.5,2,1,69000.0
Adice,39,2.5,2,1,76700.0
Bulevar Oslobođenja,113,4.0,0,1,319300.0
Klisa,29,0.5,0,0,50780.0
Salajka,31,1.5,0,1,80500.0
Podbara,27,0.5,0,0,72100.0
Detelinara,48,2.0,2,1,105000.0
Podbara,27,0.5,0,0,72100.0
Podbara,32,0.5,1,1,85080.0
Nova Detelinara,26,0.5,2,1,71100.0
Grbavica,82,3.0,3,1,153830.0
Nova Detelinara,38,1.5,4,1,94000.0
Rotkvarija,39,2.0,1,1,127720.0
Telep,96,4.0,4,1,222250.0
Stari Grad,24,0.5,1,1,74160.0
Satelit,33,1.0,1,0,63860.0
Detelinara,48,2.0,1,0,105000.0
Adice,65,2.5,1,1,117200.0
Adice,65,2.5,2,1,117200.0
Adice,57,2.5,0,0,102750.0
Novo Naselje,56,2.0,0,1,108150.0
Adice,57,3.0,0,0,99780.0
Grbavica,52,2.5,1,1,134000.0
Stari Grad,72,3.0,4,1,179940.0
Sajmište,65,3.0,5,1,144200.0
Stari Grad,33,1.5,3,1,114330.0
Stari Grad,25,0.5,1,0,77250.0
Sremska Kamenica,181,5.0,1,0,329600.0
Podbara,77,3.5,2,1,191400.0
Telep,106,3.0,2,1,139000.0
Detelinara,48,2.0,2,1,105000.0
Podbara,71,3.0,17,1,159140.0
Nova Detelinara,36,1.5,2,1,101970.0
Stari Grad,106,3.0,5,0,262030.0
Stari Grad,79,2.0,5,0,195290.0
Stari Grad,90,2.0,5,0,222500.0
Stari Grad,72,3.0,5,0,178000.0
Liman,74,3.0,2,1,163770.0
Grbavica,87,3.0,3,1,170000.0
Telep,117,5.0,3,1,535000.0
Telep,70,3.0,2,1,172000.0
Veternik,89,4.0,1,1,133500.0
Veternik,93,4.0,2,1,139500.0
Stari Grad,145,5.0,1,1,447524.0
Nova Detelinara,97,4.0,5,1,280160.0
Veternik,83,4.0,0,1,124500.0
Stari Grad,55,2.5,3,1,147300.0
Klisa,32,1.5,3,0,48620.0
Stari Grad,60,2.0,2,0,185400.0
Sajmište,31,1.0,0,1,66950.0
Banatić,46,2.0,3,1,107120.0
Telep,40,2.0,3,1,113520.0
Bulevar Oslobođenja,64,2.5,6,1,139050.0
Nova Detelinara,28,0.5,0,0,74260.0
Satelit,48,2.5,1,0,90000.0
Novo Naselje,31,1.0,1,0,74200.0
Stari Grad,45,2.5,3,0,118500.0
Sajmište,37,1.5,3,1,93940.0
Banatić,39,1.5,2,1,94760.0
Telep,57,3.5,2,1,99910.0
Bulevar Oslobođenja,53,2.0,8,1,163800.0
Detelinara,48,2.0,2,1,105000.0
Stari Grad,21,0.5,0,0,61800.0
Adamovićevo Naselje,67,3.0,3,1,179220.0
Nova Detelinara,21,0.5,1,0,66950.0
Veternik,95,4.0,1,1,159500.0
Stari Grad,33,1.0,1,0,103000.0
Stari Grad,107,4.0,2,1,275500.0
Grbavica,97,3.0,6,1,375950.0
Stari Grad,21,0.5,0,0,61800.0
Podbara,27,0.5,0,0,72100.0
Telep,26,0.5,1,1,62000.0
Bulevar Oslobođenja,58,2.5,1,0,164800.0
Banatić,76,3.0,1,0,144200.0
Nova Detelinara,87,3.0,1,0,195700.0
Detelinara,47,1.5,1,0,73000.0
Majur,31,1.0,0,1,76220.0
Rotkvarija,56,3.0,1,0,180000.0
Grbavica,32,0.5,2,1,94850.0
Novo Naselje,32,1.0,1,0,77250.0
Nova Detelinara,31,0.5,5,0,51500.0
Podbara,27,0.5,0,0,72100.0
Nova Detelinara,66,3.0,1,1,136000.0
Stari Grad,25,0.5,1,0,77250.0
Detelinara,48,2.0,2,1,105000.0
Telep,58,3.0,1,1,128450.0
Nova Detelinara,21,0.5,1,0,66950.0
Stari Grad,73,2.5,1,1,144000.0
Podbara,47,2.5,2,0,145230.0
Grbavica,75,3.0,5,1,216300.0
Bulevar Oslobođenja,80,4.5,6,1,164800.0
Petrovaradin,75,2.5,4,1,139050.0
Grbavica,115,4.0,4,1,206880.0
Liman,74,3.0,2,1,163770.0
Sajmište,150,4.5,1,1,510000.0
Podbara,47,2.0,2,0,114150.0
Podbara,47,2.0,1,1,113840.0
Bulevar Oslobođenja,38,1.5,4,0,89000.0
Sajmište,53,2.5,5,0,130810.0
Podbara,57,2.5,2,1,136990.0
Liman,70,3.0,5,1,176130.0
Liman,130,5.0,5,1,322150.0
Nova Detelinara,99,4.0,2,1,185400.0
Telep,32,0.5,1,1,67000.0
Majur,65,3.0,1,1,160680.0
Podbara,67,2.0,1,1,151820.0
Liman,69,2.5,1,1,192000.0
Bulevar Evrope,94,3.0,5,1,154500.0
Podbara,44,2.0,2,1,119000.0
Petrovaradin,40,2.0,0,0,81200.0
Podbara,44,2.0,2,1,119000.0
Petrovaradin,40,2.0,0,0,81200.0
Klisa,19,0.5,0,0,33270.0
Bulevar Oslobođenja,78,3.0,3,1,267800.0
Grbavica,34,1.5,1,1,89610.0
Detelinara,54,2.5,0,0,120000.0
Telep,100,3.5,6,0,190550.0
Veternik,44,1.5,2,1,67640.0
Nova Detelinara,67,2.0,1,1,138000.0
Nova Detelinara,51,2.0,0,1,87620.0
Nova Detelinara,28,0.5,1,1,65900.0
Grbavica,79,3.0,1,1,197000.0
Liman,100,4.0,1,1,329600.0
Podbara,60,2.0,3,1,154500.0
Bulevar Oslobođenja,56,2.0,0,1,86520.0
Liman,90,3.5,5,1,206000.0
Novo Naselje,82,3.0,5,1,122500.0
Grbavica,90,3.5,5,1,171500.0
Rotkvarija,65,3.0,1,1,146410.0
Adice,39,1.5,0,0,63650.0
Adamovićevo Naselje,40,1.5,0,0,70040.0
Banatić,51,2.0,3,1,131300.0
Veternik,45,2.5,2,1,83316.0
Grbavica,21,0.5,1,1,69900.0
Podbara,28,1.0,1,0,80300.0
Adice,27,0.5,1,0,38800.0
Rotkvarija,67,3.0,1,1,159650.0
Novo Naselje,40,1.5,10,1,77250.0
Novo Naselje,35,1.5,1,0,72100.0
Bulevar Evrope,22,0.5,0,0,72100.0
Bulevar Evrope,42,2.0,0,1,120510.0
Stari Grad,21,1.0,1,0,61800.0
Podbara,27,1.0,1,0,72100.0
Liman,74,3.0,1,0,163800.0
Nova Detelinara,39,1.5,1,1,123600.0
Detelinara,46,2.0,4,0,78280.0
Detelinara,34,1.0,5,0,92700.0
Adamovićevo Naselje,29,1.5,0,1,70040.0
Sajmište,120,5.0,1,1,167900.0
Liman,65,3.5,6,0,93730.0
Detelinara,31,1.0,5,1,51500.0
Sajmište,58,2.0,4,1,115350.0
Novo Naselje,94,4.0,5,1,140400.0
Novo Naselje,86,3.0,5,1,128440.0
Novo Naselje,80,2.5,5,1,119500.0
Stari Grad,32,1.0,4,1,90000.0
Nova Detelinara,29,1.5,4,0,64890.0
Banatić,73,3.0,3,1,157900.0
Bulevar Oslobođenja,33,1.5,10,0,87550.0
Telep,58,2.5,3,1,148060.0
Telep,54,2.5,3,1,139720.0
Podbara,24,0.5,1,1,74160.0
Stari Grad,92,4.0,1,1,278100.0
Petrovaradin,166,5.0,5,1,240000.0
Stari Grad,56,3.0,1,1,175100.0
Rotkvarija,94,4.0,5,1,185400.0
Grbavica,113,4.0,1,0,221200.0
Novo Naselje,29,0.5,3,0,82400.0
Grbavica,47,2.0,2,1,106500.0
Telep,57,2.5,1,1,141600.0
Telep,71,2.5,3,1,182620.0
Adice,61,3.5,0,1,97850.0
Sajmište,75,3.0,2,0,199999.0
Novo Naselje,69,2.0,3,1,135040.0
Adice,52,2.5,2,1,92700.0
Bulevar Evrope,73,2.0,1,0,180000.0
Telep,35,1.5,4,0,86520.0
Stari Grad,25,1.0,1,0,77250.0
Bulevar Oslobođenja,56,2.0,3,1,149970.0
Novo Naselje,63,1.5,4,1,97850.0
Stari Grad,44,2.0,0,1,113300.0
Liman,74,3.0,1,0,154500.0
Bulevar Evrope,47,2.0,1,0,92460.0
Liman,61,2.5,1,0,146300.0
Novo Naselje,62,3.0,1,0,128750.0
Rotkvarija,41,1.0,5,1,97850.0
Adice,27,0.5,1,0,38800.0
Nova Detelinara,87,3.0,5,1,164800.0
Rotkvarija,46,2.0,1,0,159650.0
Telep,57,2.5,1,1,141600.0
Telep,71,2.5,3,1,182620.0
Adice,61,3.5,0,1,97850.0
Sajmište,75,3.0,2,0,199999.0
Novo Naselje,69,2.0,3,1,135040.0
Adice,52,2.5,2,1,92700.0
Bulevar Evrope,73,2.0,1,0,180000.0
Telep,35,1.5,4,0,86520.0
Stari Grad,25,1.0,1,0,77250.0
Bulevar Oslobođenja,56,2.0,3,1,149970.0
Novo Naselje,63,1.5,4,1,97850.0
Stari Grad,44,2.0,0,1,113300.0
Liman,74,3.0,1,0,154500.0
Bulevar Evrope,47,2.0,1,0,92460.0
Liman,61,2.5,1,0,146300.0
Novo Naselje,62,3.0,1,0,128750.0
Rotkvarija,41,1.0,5,1,97850.0
Adice,27,0.5,1,0,38800.0
Nova Detelinara,87,3.0,5,1,164800.0
Rotkvarija,46,2.0,1,0,159650.0
Adamovićevo Naselje,75,3.0,1,0,174100.0
Novo Naselje,29,1.0,1,0,71000.0
Veternik,64,2.0,0,0,61800.0
Bulevar Oslobođenja,101,4.0,1,0,236900.0
Telep,69,3.0,3,1,151800.0
Sajmište,63,2.5,5,0,133900.0
Nova Detelinara,136,4.0,4,1,244010.0
Podbara,95,4.0,2,1,246170.0
Bulevar Oslobođenja,204,7.0,2,1,695250.0
Stari Grad,86,4.0,3,1,190550.0
Stari Grad,76,3.0,3,1,164800.0
Stari Grad,48,1.5,6,1,123600.0
Stari Grad,94,3.0,0,0,309000.0
Nova Detelinara,40,1.5,1,1,92700.0
Stari Grad,56,2.0,1,1,213420.0
Telep,80,3.5,1,1,134900.0
Telep,55,2.5,3,1,139000.0
Telep,100,4.5,4,1,159650.0
Bulevar Oslobođenja,46,2.0,5,0,77250.0
Stari Grad,81,3.0,7,0,154500.0
Telep,48,2.0,2,1,103350.0
Stari Grad,33,1.5,3,1,100940.0
Adamovićevo Naselje,51,2.0,4,0,120000.0
Detelinara,60,2.5,2,1,117420.0
Sajmište,80,4.0,6,0,216300.0
Adice,21,0.5,0,1,51500.0
Grbavica,52,2.0,2,1,133900.0
Podbara,67,2.0,1,1,138000.0
Rotkvarija,29,1.0,1,0,105150.0
Rotkvarija,25,1.0,1,0,90640.0
Rotkvarija,43,2.0,1,0,160800.0
Rotkvarija,56,2.5,1,0,203000.0
Rotkvarija,25,1.0,1,0,93500.0
Rotkvarija,69,3.0,1,0,242500.0
Rotkvarija,126,4.0,1,0,399800.0
Rotkvarija,70,3.0,1,0,245900.0
Petrovaradin,62,2.5,1,0,114950.0
Adice,100,3.5,1,1,200850.0
Detelinara,58,2.0,3,1,111400.0
Grbavica,33,1.5,4,1,95790.0
Bulevar Evrope,37,1.5,0,1,98900.0
Nova Detelinara,25,0.5,5,1,73100.0
Stari Grad,149,5.0,2,1,395185.0
Grbavica,62,2.0,6,1,133900.0
Stari Grad,120,4.0,2,1,247200.0
Stari Grad,122,5.0,2,1,319300.0
Stari Grad,55,3.5,0,0,133900.0
Banatić,56,2.0,5,1,88580.0
Liman,58,2.5,5,0,133900.0
Podbara,87,3.5,4,0,154500.0
Nova Detelinara,91,3.0,0,1,154400.0
Detelinara,85,4.0,5,1,123600.0
Petrovaradin,44,2.5,6,0,77250.0
Nova Detelinara,106,4.0,2,1,262030.0
Petrovaradin,116,4.0,0,1,114330.0
Adamovićevo Naselje,68,3.0,0,0,70040.0
Grbavica,68,2.5,4,1,132870.0
Stari Grad,102,3.0,1,1,189110.0
Satelit,50,2.0,3,1,103000.0
Telep,31,0.5,2,1,66950.0
Grbavica,79,3.0,3,1,152160.0
Stari Grad,67,3.0,4,1,113300.0
Salajka,81,3.5,3,0,100000.0
Stari Grad,107,4.0,2,1,275530.0
Stari Grad,115,4.0,3,1,247200.0
Stari Grad,100,4.0,3,1,133900.0
Stari Grad,38,1.5,2,0,123600.0
Petrovaradin,80,3.0,1,1,133900.0
Grbavica,86,3.0,3,1,195700.0
Stari Grad,59,3.5,3,1,133900.0
Stari Grad,148,4.0,4,1,251550.0
Petrovaradin,87,3.0,1,1,123600.0
Bulevar Oslobođenja,76,2.5,4,1,154500.0
Novo Naselje,89,3.0,4,1,146670.0
Novo Naselje,64,2.0,2,1,133900.0
Grbavica,93,4.0,1,0,267800.0
Stari Grad,71,3.0,1,1,159140.0
Bulevar Oslobođenja,63,3.0,5,0,154500.0
Bulevar Oslobođenja,85,3.5,1,1,186480.0
Bulevar Oslobođenja,93,3.5,2,1,204030.0
Petrovaradin,25,1.0,1,0,66950.0
Stari Grad,32,0.5,3,1,82400.0
Banatić,39,1.5,2,1,94750.0
Banatić,46,2.0,3,1,107120.0
Adamovićevo Naselje,29,1.5,0,0,70040.0
Telep,38,1.5,2,1,73000.0
Bulevar Evrope,51,1.5,4,0,92700.0
Bulevar Oslobođenja,38,1.0,7,1,93700.0
Stari Grad,61,3.0,4,0,108000.0
Liman,96,5.0,6,1,164800.0
Detelinara,43,1.5,4,1,108150.0
Liman,64,2.0,1,1,206000.0
Bulevar Evrope,25,0.5,1,1,72100.0
Telep,35,1.5,1,1,78500.0
Telep,59,2.5,0,1,127600.0
Liman,107,3.0,3,1,246000.0
Liman,61,2.5,8,1,145500.0
Bulevar Evrope,37,1.5,-1,0,70000.0
Adice,29,0.5,0,1,51500.0
Bulevar Evrope,44,2.0,5,1,127310.0
Rotkvarija,49,1.5,1,1,95275.0
Bulevar Oslobođenja,85,3.5,1,1,186400.0
Grbavica,92,3.0,1,1,216300.0
Bulevar Evrope,80,4.0,5,1,250000.0
Sajmište,33,1.5,4,1,85500.0
Nova Detelinara,66,3.0,3,0,185400.0
Nova Detelinara,40,1.5,1,1,92700.0
Bulevar Oslobođenja,59,2.0,1,1,127700.0
Detelinara,46,2.0,4,0,84820.0
Adice,60,3.5,0,0,108210.0
Telep,81,3.0,3,1,99900.0
Telep,58,2.5,2,1,142680.0
Novo Naselje,52,2.0,6,1,92700.0
Podbara,33,1.5,0,0,82400.0
Liman,66,3.0,11,0,108150.0
Banatić,36,1.5,2,0,112300.0
Adice,27,0.5,0,0,41200.0
Nova Detelinara,23,0.5,5,1,69900.0
Adice,32,1.5,0,0,56230.0
Telep,56,2.0,2,1,107640.0
Novo Naselje,59,2.0,0,1,141110.0
Detelinara,36,1.5,1,1,87500.0
Bulevar Oslobođenja,26,0.5,4,1,76200.0
Podbara,36,1.5,0,1,108150.0
Jugovićevo,91,4.0,0,1,215580.0
Nova Detelinara,85,4.0,5,1,144200.0
Bulevar Evrope,24,1.0,3,0,70000.0
Nova Detelinara,121,5.0,4,1,224330.0
Grbavica,92,3.0,1,1,216300.0
Grbavica,47,2.0,2,1,133900.0
Detelinara,50,2.0,1,1,108150.0
Podbara,27,0.5,1,0,70000.0
Grbavica,92,3.0,1,1,216300.0
Bulevar Evrope,79,3.0,5,1,164800.0
Telep,66,3.5,0,1,143670.0
Telep,58,2.5,1,1,143005.0
Rotkvarija,65,3.0,1,0,139050.0
Novo Naselje,94,4.0,1,0,140400.0
Novo Naselje,86,3.0,1,0,128450.0
Novo Naselje,82,3.0,1,0,122500.0
Novo Naselje,80,3.0,1,0,119500.0
Novo Naselje,113,4.0,1,0,168800.0
Liman,62,2.5,1,0,185400.0
Rotkvarija,125,5.0,1,1,411000.0
Bulevar Evrope,112,4.0,5,1,282600.0
Stari Grad,21,0.5,1,0,60000.0
Stari Grad,33,1.5,3,1,114330.0
Detelinara,62,3.0,0,1,122570.0
Banatić,38,1.5,5,0,82400.0
Satelit,48,2.0,1,0,77300.0
Liman,66,2.5,3,1,149560.0
Nova Detelinara,83,3.5,2,1,179530.0
Stari Grad,100,3.5,6,1,150000.0
Satelit,48,2.0,0,0,87550.0
Telep,38,2.5,1,1,82400.0
Adice,28,0.5,0,0,43260.0
Adice,28,1.5,0,0,44805.0
Stari Grad,40,1.5,4,1,88580.0
Bulevar Oslobođenja,49,2.0,4,0,113300.0
Stari Grad,21,0.5,3,1,57170.0
Bulevar Evrope,92,3.5,3,1,184000.0
Grbavica,234,4.0,8,1,1018670.0
Novo Naselje,44,2.0,1,1,86000.0
Novo Naselje,102,4.0,1,1,174500.0
Novo Naselje,46,2.0,1,1,90000.0
Novo Naselje,42,2.0,3,1,82800.0
Novo Naselje,198,5.0,9,1,307200.0
Novo Naselje,42,2.0,1,1,82600.0
Novo Naselje,40,2.0,2,1,78150.0
Novo Naselje,42,2.0,2,1,82400.0
Novo Naselje,89,4.0,1,1,151650.0
Novo Naselje,42,2.0,1,1,81400.0
Novo Naselje,39,2.0,1,1,76500.0
Novo Naselje,39,2.0,1,1,77850.0
Novo Naselje,39,2.0,1,1,76850.0
Novo Naselje,39,2.0,1,1,77050.0
Novo Naselje,40,2.0,2,1,79200.0
Novo Naselje,41,2.0,1,1,81700.0
Novo Naselje,40,2.0,1,1,78900.0
Novo Naselje,39,2.0,1,1,77550.0
Novo Naselje,39,2.0,2,1,77550.0
Novo Naselje,42,2.0,3,1,82800.0
Novo Naselje,132,4.0,3,1,224900.0
Novo Naselje,133,4.0,9,1,227450.0
Novo Naselje,40,2.0,2,1,78750.0
Novo Naselje,39,2.0,12,1,77100.0
Novo Naselje,86,4.0,1,1,146600.0
Novo Naselje,41,2.0,1,1,81100.0
Novo Naselje,39,2.0,1,1,76800.0
Veternik,76,4.0,1,1,105800.0
Novo Naselje,38,2.0,1,1,75950.0
Novo Naselje,38,2.0,1,1,75550.0
Telep,56,2.5,1,1,134900.0
Veternik,76,4.0,1,1,105800.0
Telep,77,4.0,1,1,174600.0
Telep,72,4.0,1,1,164350.0
Telep,45,2.0,1,1,108950.0
Telep,61,3.0,1,1,142600.0
Telep,77,4.0,2,1,174600.0
Telep,72,4.0,2,1,164350.0
Telep,45,2.0,2,1,108950.0
Telep,61,3.0,2,1,142600.0
Banatić,68,2.5,7,1,115400.0
Stari Grad,85,3.0,0,1,145000.0
Stari Grad,67,3.0,4,1,195200.0
Liman,77,2.5,8,1,226600.0
Grbavica,92,3.0,1,1,210000.0
Adice,81,3.0,3,1,96000.0
Petrovaradin,72,3.0,3,1,142560.0
Petrovaradin,80,3.5,2,1,149600.0
Nova Detelinara,42,1.5,4,1,169900.0
Telep,71,3.0,3,1,190100.0
Telep,73,3.0,4,1,142350.0
Telep,65,2.5,4,1,128000.0
Telep,48,1.5,4,1,116650.0
Telep,69,2.5,3,1,167000.0
